dyn_window_months,dyn_quantile,pe_window_years,band,base_position,trend_sensitivity,cheap_threshold,expensive_threshold,max_weight,period_years,start_date,end_date,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,calmar_ratio,benchmark_return,benchmark_ann_return,benchmark_volatility,benchmark_sharpe,benchmark_max_dd,excess_return,num_trades,avg_position
60,0.2,12,0.05,0.5,0.3,0.25,0.8,1.2,20,2006-01-31,2026-01-31,0.5959039610539756,0.023848349663998514,0.10749146704855239,0.03580144331140506,-0.29098829664020565,0.08195638772883694,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05367669081345516,101,0.32681857874012993
60,0.2,12,0.05,0.5,0.3,0.25,0.85,1.2,20,2006-01-31,2026-01-31,0.5971438898297474,0.02388844277500124,0.11030909841653751,0.03525042658147848,-0.2940371394988992,0.08124294371694726,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05363659770245244,102,0.33884114066834414
60,0.2,12,0.1,0.5,0.3,0.25,0.85,1.2,20,2006-01-31,2026-01-31,0.5957953325028418,0.023844835749469384,0.10983834268641966,0.03500449529219596,-0.3139096065187891,0.07596083475719355,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05368020472798429,76,0.3409880069171595
84,0.15,12,0.1,0.5,0.3,0.25,0.85,1.2,20,2006-01-31,2026-01-31,0.5913218175862343,0.0236999289243216,0.11025007511476484,0.03355942316111946,-0.3139096065187891,0.07549921516308562,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05382511155313208,75,0.34278515329378195
60,0.2,12,0.05,0.5,0.3,0.25,0.75,1.2,20,2006-01-31,2026-01-31,0.5846507776403631,0.023483119379510198,0.1045523651361313,0.033314591926973995,-0.28365810126385693,0.0827867043982867,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05404192109794348,100,0.31372856062261584
60,0.2,12,0.08,0.5,0.3,0.2,0.75,1.2,20,2006-01-31,2026-01-31,0.5794676471169595,0.023314067928084325,0.0997467152890425,0.033224832702319435,-0.29227526696973727,0.0797675019504757,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05421097254936935,82,0.2958377619850573
60,0.2,12,0.05,0.5,0.3,0.2,0.8,1.2,20,2006-01-31,2026-01-31,0.5818777026533561,0.023392739008749386,0.10295150684679599,0.032954729004580595,-0.2864081431727006,0.08167623570201303,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05413230146870429,101,0.3093120196223741
84,0.15,12,0.05,0.5,0.3,0.25,0.8,1.2,20,2006-01-31,2026-01-31,0.5865736099915961,0.023545700415293025,0.10794406507942729,0.03284757168153739,-0.29098829664020565,0.08091631411694285,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05397934006216065,100,0.3286847936628381
84,0.15,12,0.05,0.5,0.3,0.25,0.85,1.2,20,2006-01-31,2026-01-31,0.5821037902757562,0.023400113312690207,0.11086733695833867,0.030668305074991468,-0.2940371394988992,0.07958216894834746,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05412492716476347,102,0.3410054775273617
60,0.2,12,0.1,0.5,0.3,0.25,0.75,1.2,20,2006-01-31,2026-01-31,0.5757793955326007,0.023193451906269313,0.10459150470594797,0.0305326127131213,-0.2936622033019942,0.07898003776270043,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.054331588571184364,74,0.31445995781421804
84,0.15,12,0.05,0.5,0.3,0.25,0.75,1.2,20,2006-01-31,2026-01-31,0.5752669664850625,0.023176672854007263,0.10497694332615636,0.030260672042407944,-0.28365810126385693,0.0817063667518823,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.054348367623446414,99,0.31547887602919145
36,0.2,12,0.1,0.5,0.3,0.25,0.85,1.2,20,2006-01-31,2026-01-31,0.5749838530307232,0.023167400322372966,0.1088448089427802,0.029100150509135173,-0.3139096065187891,0.07380277583504372,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05435764015508071,74,0.336968017352472
36,0.2,12,0.05,0.5,0.3,0.25,0.8,1.2,20,2006-01-31,2026-01-31,0.572783641852608,0.0230952850140429,0.10650562527242792,0.029062174003725634,-0.29098829664020565,0.07936843261637842,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05442975546341078,98,0.32297821272220756
36,0.15,12,0.05,0.5,0.3,0.25,0.85,1.2,20,2006-01-31,2026-01-31,0.5755658576008655,0.023186460418541,0.11133914152439027,0.028619408906103018,-0.3116322371919925,0.07440327941507581,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05433858005891268,102,0.3436316183161523
36,0.15,12,0.08,0.5,0.3,0.2,0.75,1.2,20,2006-01-31,2026-01-31,0.5661435545354152,0.022877063661821184,0.1006010185697865,0.028598752803137645,-0.3099142767735209,0.07381739202205027,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05464797681563249,82,0.3001583060861516
84,0.15,12,0.05,0.5,0.3,0.2,0.8,1.2,20,2006-01-31,2026-01-31,0.5678055661646044,0.02293176670600916,0.10342851387807594,0.028345826465854453,-0.2864081431727006,0.08006674130135186,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05459327377144452,101,0.3112242556410555
84,0.15,12,0.08,0.5,0.3,0.2,0.75,1.2,20,2006-01-31,2026-01-31,0.5648746194133505,0.022835261118655525,0.10020013485511031,0.028295981065847076,-0.29227526696973727,0.0781292969309645,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05468977935879815,82,0.2976488185432521
48,0.25,12,0.05,0.5,0.3,0.25,0.8,1.2,20,2006-01-31,2026-01-31,0.5701046858812657,0.02300734866424614,0.10649046835131255,0.028240543128469332,-0.29098829664020565,0.07906623369356235,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.054517691813207536,99,0.3200840834837801
36,0.15,12,0.1,0.5,0.3,0.25,0.85,1.2,20,2006-01-31,2026-01-31,0.5742978100008789,0.023144924475342332,0.11143074187497103,0.02822313144851033,-0.33100941186977617,0.06992225491294451,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.054380116002111345,77,0.34601761120631036
48,0.25,12,0.1,0.5,0.3,0.25,0.85,1.2,20,2006-01-31,2026-01-31,0.5716594119240055,0.023058399659171114,0.10882753629896677,0.028103178323996943,-0.3139096065187891,0.07345554000365055,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.05446664081828256,74,0.3339044116123644
