dyn_window_months,dyn_quantile,pe_window_years,band,base_position,trend_sensitivity,cheap_threshold,expensive_threshold,max_weight,period_years,start_date,end_date,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,calmar_ratio,benchmark_return,benchmark_ann_return,benchmark_volatility,benchmark_sharpe,benchmark_max_dd,excess_return,num_trades,avg_position
36,0.1,5,0.0,0.5,0.3,0.15,0.75,1.2,10,2016-01-31,2026-01-31,0.294908408333733,0.0266304486326987,0.062427634558613755,0.10621015323707843,-0.1303654983152457,0.20427527970860665,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.022927957459534687,119,0.21492133920132434
36,0.1,5,0.0,0.5,0.3,0.15,0.75,1.2,20,2006-01-31,2026-01-31,0.2833042512185635,0.012656135352049791,0.08621805704952708,-0.08517780264674257,-0.2879471428855055,0.04395298117989025,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.06486890512540389,239,0.23952147494010143
36,0.1,5,0.0,0.5,0.3,0.15,0.8,1.2,10,2016-01-31,2026-01-31,0.3203982730148891,0.028667643505094764,0.06426263368495941,0.13487843569541433,-0.13147979940762344,0.21803838790639773,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.020890762587138623,119,0.23186233659478042
36,0.1,5,0.0,0.5,0.3,0.15,0.8,1.2,20,2006-01-31,2026-01-31,0.31926686372312374,0.014068267002635526,0.08850349006600304,-0.06702258852098127,-0.2943471811325481,0.047794807983231255,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.06345677347481815,239,0.25396878283793956
36,0.1,5,0.0,0.5,0.3,0.15,0.85,1.2,10,2016-01-31,2026-01-31,0.33679775283734226,0.02995972205318065,0.06600625300862366,0.1508905838342228,-0.13243408504357623,0.2262236496240577,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.01959868403905274,119,0.2480506255559839
36,0.1,5,0.0,0.5,0.3,0.15,0.85,1.2,20,2006-01-31,2026-01-31,0.33633182400269845,0.014725608444872806,0.09099832657247048,-0.05796141263022791,-0.2998239990553211,0.049114175287068185,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.06279943203258087,239,0.2678945841659389
36,0.1,5,0.0,0.5,0.3,0.2,0.75,1.2,10,2016-01-31,2026-01-31,0.3099183899500273,0.027834386341277773,0.0654590245959251,0.11968382342448579,-0.13494006859163055,0.20627221129932163,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.021724019750955614,119,0.22691403199951093
36,0.1,5,0.0,0.5,0.3,0.2,0.75,1.2,20,2006-01-31,2026-01-31,0.3114676214981442,0.013765147957550017,0.08822871550417968,-0.07066692523880866,-0.2902402210659708,0.047426741569429956,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.06375989251990366,239,0.24902896385846993
36,0.1,5,0.0,0.5,0.3,0.2,0.8,1.2,10,2016-01-31,2026-01-31,0.33646488546727693,0.029933638090228643,0.06726466452267067,0.14767988751182487,-0.13576209589382693,0.22048597506654816,0.6090332226225372,0.04955840609223339,0.17467737756900054,0.16921713906860844,-0.39922028638079654,-0.019624768002004744,119,0.2442673881092395
36,0.1,5,0.0,0.5,0.3,0.2,0.8,1.2,20,2006-01-31,2026-01-31,0.34842804998261157,0.015186744361983973,0.0906784135678949,-0.0530805011758629,-0.29697869608933236,0.05113748750993149,3.396862327993081,0.07752504047745368,0.2757623533875921,0.20860367548648143,-0.7075419839491413,-0.062338296115469705,239,0.2638879233379305
