month_end,m1_yoy,m2_yoy,gap
1991-12-31,24.2,26.5,-2.3000000000000007
1992-12-31,35.9,31.3,4.599999999999998
1993-12-31,38.78,37.31,1.4699999999999989
1994-12-31,26.2,34.5,-8.3
1995-12-31,16.8,29.5,-12.7
1996-12-31,18.9,25.3,-6.400000000000002
1997-01-31,21.35,34.67,-13.32
1997-02-28,15.23,23.86,-8.629999999999999
1997-03-31,21.54,23.84,-2.3000000000000007
1997-04-30,24.21,22.97,1.240000000000002
1997-05-31,23.76,21.34,2.4200000000000017
1997-06-30,26.32,21.51,4.809999999999999
1997-07-31,24.01,20.35,3.66
1997-08-31,22.8,17.2,5.600000000000001
1997-09-30,22.93,23.33,-0.3999999999999986
1997-10-31,20.99,18.44,2.549999999999997
1997-11-30,20.01,18.14,1.870000000000001
1997-12-31,22.1,19.6,2.5
1998-01-31,16.4,17.25,-0.8500000000000014
1998-02-28,14.75,16.49,-1.7399999999999984
1998-03-31,13.94,15.18,-1.2400000000000002
1998-04-30,11.23,14.66,-3.4299999999999997
1998-05-31,10.83,15.75,-4.92
1998-06-30,8.7,14.34,-5.640000000000001
1998-07-31,10.47,15.4,-4.93
1998-08-31,10.94,14.81,-3.870000000000001
1998-09-30,13.2,16.19,-2.990000000000002
1998-10-31,13.46,16.42,-2.960000000000001
1998-11-30,13.69,16.71,-3.0200000000000014
1998-12-31,11.9,14.8,-2.9000000000000004
1999-01-31,9.63,14.41,-4.779999999999999
1999-02-28,16.03,17.12,-1.0899999999999999
1999-03-31,14.93,17.85,-2.9200000000000017
1999-04-30,14.07,17.87,-3.8000000000000007
1999-05-31,13.27,17.17,-3.900000000000002
1999-06-30,14.94,17.65,-2.709999999999999
1999-07-31,13.49,15.68,-2.1899999999999995
1999-08-31,14.39,15.96,-1.5700000000000003
1999-09-30,14.83,15.32,-0.4900000000000002
1999-10-31,14.89,14.39,0.5
1999-11-30,15.92,14.02,1.9000000000000004
1999-12-31,17.7,14.7,3.0
2000-01-31,19.4,14.9,4.499999999999998
2000-02-29,15.3,12.8,2.5
2000-03-31,18.7,13.0,5.699999999999999
2000-04-30,21.7,13.7,8.0
2000-05-31,22.3,12.7,9.600000000000001
2000-06-30,23.7,13.7,10.0
2000-07-31,22.6,13.4,9.200000000000001
2000-08-31,21.9,13.3,8.599999999999998
2000-09-30,20.8,13.4,7.4
2000-10-31,18.2,12.3,5.899999999999999
2000-11-30,17.1,12.4,4.700000000000001
2000-12-31,16.0,12.3,3.6999999999999993
2001-01-31,16.8,13.5,3.3000000000000007
2001-02-28,16.4,12.0,4.399999999999999
2001-03-31,17.4,13.2,4.199999999999999
2001-04-30,15.0,12.8,2.1999999999999993
2001-05-31,13.0,12.1,0.9000000000000004
2001-06-30,14.9,14.3,0.5999999999999996
2001-07-31,11.9,13.5,-1.5999999999999996
2001-08-31,14.2,13.6,0.5999999999999996
2001-09-30,12.26,16.36,-4.1
2001-10-31,12.3,12.9,-0.5999999999999996
2001-11-30,11.4,17.63,-6.229999999999999
2001-12-31,12.65,17.6,-4.950000000000001
2002-01-31,9.5,13.1,-3.5999999999999996
2002-02-28,10.9,13.0,-2.0999999999999996
2002-03-31,10.1,14.4,-4.300000000000001
2002-04-30,11.5,14.1,-2.5999999999999996
2002-05-31,14.6,14.0,0.5999999999999996
2002-06-30,12.8,14.7,-1.8999999999999986
2002-07-31,17.0,14.4,2.5999999999999996
2002-08-31,14.6,15.5,-0.9000000000000004
2002-09-30,15.9,16.5,-0.5999999999999996
2002-10-31,17.9,17.0,0.8999999999999986
2002-11-30,18.5,16.6,1.8999999999999986
2002-12-31,16.82,16.8,0.019999999999999574
2003-01-31,19.5,19.3,0.1999999999999993
2003-02-28,18.8,18.1,0.6999999999999993
2003-03-31,20.1,18.5,1.6000000000000014
2003-04-30,18.0,19.2,-1.1999999999999993
2003-05-31,18.8,20.2,-1.3999999999999986
2003-06-30,20.2,20.8,-0.6000000000000014
2003-07-31,20.0,20.7,-0.6999999999999993
2003-08-31,18.8,21.6,-2.8000000000000007
2003-09-30,18.5,20.7,-2.1999999999999993
2003-10-31,19.6,21.0,-1.3999999999999986
2003-11-30,18.9,20.4,-1.5
2003-12-31,18.67,19.58,-0.9099999999999966
2004-01-31,15.74,18.14,-2.4000000000000004
2004-02-29,19.78,19.43,0.3500000000000014
2004-03-31,20.12,19.11,1.0100000000000016
2004-04-30,20.03,19.12,0.9100000000000001
2004-05-31,19.24,17.71,1.5299999999999976
2004-06-30,16.73,16.36,0.370000000000001
2004-07-31,15.53,15.49,0.03999999999999915
2004-08-31,15.7,13.84,1.8599999999999994
2004-09-30,14.24,14.14,0.09999999999999964
2004-10-31,13.1,13.65,-0.5500000000000007
2004-11-30,14.32,14.23,0.08999999999999986
2004-12-31,13.58,14.67,-1.0899999999999999
2005-01-31,15.84,14.5,1.3399999999999999
2005-02-28,11.08,14.23,-3.1500000000000004
2005-03-31,10.4,14.22,-3.8200000000000003
2005-04-30,10.5,14.28,-3.7799999999999994
2005-05-31,10.4,14.64,-4.24
2005-06-30,11.25,15.67,-4.42
2005-07-31,11.0,16.3,-5.300000000000001
2005-08-31,11.5,17.34,-5.84
2005-09-30,11.64,17.92,-6.280000000000001
2005-10-31,12.08,17.99,-5.909999999999998
2005-11-30,12.71,18.3,-5.59
2005-12-31,11.78,17.57,-5.790000000000001
2006-01-31,10.63,19.21,-8.58
2006-02-28,12.44,18.82,-6.380000000000001
2006-03-31,12.67,18.76,-6.090000000000002
2006-04-30,12.48,18.92,-6.440000000000001
2006-05-31,14.01,19.05,-5.040000000000001
2006-06-30,13.94,18.43,-4.49
2006-07-31,15.34,18.4,-3.0599999999999987
2006-08-31,15.57,17.94,-2.370000000000001
2006-09-30,15.7,16.83,-1.129999999999999
2006-10-31,16.33,17.08,-0.75
2006-11-30,16.83,16.8,0.029999999999997584
2006-12-31,17.48,16.94,0.5399999999999991
2007-01-31,19.8,15.79,4.010000000000002
2007-02-28,20.99,17.78,3.2099999999999973
2007-03-31,19.81,17.27,2.539999999999999
2007-04-30,20.01,17.09,2.9200000000000017
2007-05-31,19.28,16.74,2.5400000000000027
2007-06-30,20.92,17.06,3.860000000000003
2007-07-31,20.94,18.48,2.460000000000001
2007-08-31,22.77,18.09,4.68
2007-09-30,22.07,18.45,3.620000000000001
2007-10-31,22.21,18.47,3.740000000000002
2007-11-30,21.67,18.45,3.2200000000000024
2007-12-31,21.0,16.7,4.300000000000001
2008-01-31,20.54,18.88,1.6600000000000001
2008-02-29,18.95,17.39,1.5599999999999987
2008-03-31,17.97,16.19,1.7799999999999976
2008-04-30,19.05,16.94,2.1099999999999994
2008-05-31,17.93,18.07,-0.14000000000000057
2008-06-30,14.19,17.37,-3.1800000000000015
2008-07-31,13.96,16.35,-2.3900000000000006
2008-08-31,11.48,16.0,-4.52
2008-09-30,9.43,15.29,-5.859999999999999
2008-10-31,8.85,15.02,-6.17
2008-11-30,6.8,14.8,-8.0
2008-12-31,9.06,17.82,-8.76
2009-01-31,6.68,18.79,-12.11
2009-02-28,10.87,20.48,-9.610000000000001
2009-03-31,17.04,25.51,-8.470000000000002
2009-04-30,17.48,25.95,-8.469999999999999
2009-05-31,18.69,25.74,-7.049999999999997
2009-06-30,24.79,28.46,-3.6700000000000017
2009-07-31,26.37,28.42,-2.0500000000000007
2009-08-31,27.72,28.53,-0.8100000000000023
2009-09-30,29.51,29.31,0.20000000000000284
2009-10-31,32.03,29.42,2.6099999999999994
2009-11-30,34.63,29.74,4.890000000000004
2009-12-31,32.35,27.68,4.670000000000002
2010-01-31,38.96,25.98,12.98
2010-02-28,34.99,25.52,9.470000000000002
2010-03-31,29.94,22.5,7.440000000000001
2010-04-30,31.25,21.48,9.77
2010-05-31,29.9,21.0,8.899999999999999
2010-06-30,24.56,18.46,6.099999999999998
2010-07-31,22.9,17.6,5.299999999999997
2010-08-31,21.9,19.2,2.6999999999999993
2010-09-30,20.87,18.96,1.9100000000000001
2010-10-31,22.1,19.3,2.8000000000000007
2010-11-30,22.1,19.5,2.6000000000000014
2010-12-31,21.19,19.72,1.4700000000000024
2011-01-31,13.6,17.2,-3.5999999999999996
2011-02-28,14.5,15.7,-1.1999999999999993
2011-03-31,15.01,16.63,-1.6199999999999992
2011-04-30,12.9,15.3,-2.4000000000000004
2011-05-31,12.7,15.1,-2.4000000000000004
2011-06-30,13.1,15.9,-2.8000000000000007
2011-07-31,11.6,14.7,-3.0999999999999996
2011-08-31,11.2,13.5,-2.3000000000000007
2011-09-30,8.85,13.04,-4.1899999999999995
2011-10-31,8.4,12.9,-4.5
2011-11-30,7.8,12.7,-4.8999999999999995
2011-12-31,7.85,13.61,-5.76
2012-01-31,3.1,12.4,-9.3
2012-02-29,4.3,13.0,-8.7
2012-03-31,4.4,13.4,-9.0
2012-04-30,3.1,12.8,-9.700000000000001
2012-05-31,3.5,13.2,-9.7
2012-06-30,4.7,13.6,-8.899999999999999
2012-07-31,4.6,13.9,-9.3
2012-08-31,4.5,13.5,-9.0
2012-09-30,7.3,14.8,-7.500000000000001
2012-10-31,6.1,14.1,-8.0
2012-11-30,5.5,13.9,-8.4
2012-12-31,6.5,13.8,-7.300000000000001
2013-01-31,15.3,15.9,-0.5999999999999996
2013-02-28,9.5,15.2,-5.699999999999999
2013-03-31,11.9,15.7,-3.799999999999999
2013-04-30,11.9,16.1,-4.200000000000001
2013-05-31,11.3,15.8,-4.5
2013-06-30,9.1,14.0,-4.9
2013-07-31,9.7,14.5,-4.800000000000001
2013-08-31,9.9,14.7,-4.799999999999999
2013-09-30,8.9,14.2,-5.299999999999999
2013-10-31,8.9,14.3,-5.4
2013-11-30,9.4,14.2,-4.799999999999999
2013-12-31,9.3,13.6,-4.299999999999999
2014-01-31,1.2,13.2,-12.0
2014-02-28,6.9,13.3,-6.4
2014-03-31,5.4,12.1,-6.699999999999999
2014-04-30,5.5,13.2,-7.699999999999999
2014-05-31,5.7,13.4,-7.7
2014-06-30,8.9,14.7,-5.799999999999999
2014-07-31,6.7,13.5,-6.8
2014-08-31,5.7,12.8,-7.1000000000000005
2014-09-30,4.8,12.9,-8.100000000000001
2014-10-31,3.2,12.6,-9.399999999999999
2014-11-30,3.2,12.3,-9.100000000000001
2014-12-31,3.2,12.2,-9.0
2015-01-31,10.6,10.8,-0.20000000000000107
2015-02-28,5.6,12.5,-6.9
2015-03-31,2.9,11.6,-8.7
2015-04-30,3.7,10.1,-6.3999999999999995
2015-05-31,4.7,10.8,-6.1000000000000005
2015-06-30,4.3,11.8,-7.500000000000001
2015-07-31,6.6,13.3,-6.700000000000001
2015-08-31,9.3,13.3,-4.0
2015-09-30,11.4,13.1,-1.6999999999999993
2015-10-31,14.0,13.5,0.5
2015-11-30,15.7,13.7,2.0
2015-12-31,15.2,13.3,1.8999999999999986
2016-01-31,18.55,13.97,4.58
2016-02-29,17.36,13.3,4.059999999999999
2016-03-31,22.05,13.4,8.65
2016-04-30,22.92,12.84,10.080000000000002
2016-05-31,23.66,11.81,11.85
2016-06-30,24.59,11.78,12.81
2016-07-31,25.43,10.22,15.209999999999999
2016-08-31,25.29,11.35,13.94
2016-09-30,24.7,11.5,13.2
2016-10-31,23.85,11.64,12.21
2016-11-30,22.65,11.39,11.259999999999998
2016-12-31,21.35,11.33,10.020000000000001
2017-01-31,14.5,10.7,3.8000000000000007
2017-02-28,21.4,10.4,10.999999999999998
2017-03-31,18.8,10.1,8.700000000000001
2017-04-30,18.54,9.8,8.739999999999998
2017-05-31,17.0,9.1,7.9
2017-06-30,15.0,9.1,5.9
2017-07-31,15.3,8.9,6.4
2017-08-31,14.0,8.6,5.4
2017-09-30,14.0,9.0,5.0
2017-10-31,13.0,8.9,4.1
2017-11-30,12.7,9.1,3.5999999999999996
2017-12-31,11.8,8.1,3.700000000000001
2018-01-31,14.97,8.62,6.350000000000001
2018-02-28,8.5,8.8,-0.3000000000000007
2018-03-31,7.1,8.2,-1.0999999999999996
2018-04-30,7.2,8.3,-1.1000000000000005
2018-05-31,6.0,8.3,-2.3000000000000007
2018-06-30,6.0,8.3,-2.3000000000000007
2018-07-31,5.1,8.5,-3.4000000000000004
2018-08-31,3.9,8.2,-4.299999999999999
2018-09-30,4.0,8.3,-4.300000000000001
2018-10-31,2.7,8.0,-5.3
2018-11-30,1.5,8.0,-6.5
2018-12-31,1.5,8.1,-6.6
2019-01-31,0.4,8.4,-8.0
2019-02-28,2.0,8.0,-6.0
2019-03-31,4.6,8.6,-4.0
2019-04-30,2.9,8.5,-5.6
2019-05-31,3.4,8.5,-5.1
2019-06-30,4.4,8.5,-4.1
2019-07-31,3.1,8.1,-5.0
2019-08-31,3.4,8.2,-4.799999999999999
2019-09-30,3.4,8.4,-5.0
2019-10-31,3.3,8.4,-5.1000000000000005
2019-11-30,3.5,8.2,-4.699999999999999
2019-12-31,4.4,8.7,-4.299999999999999
2020-01-31,0.0,8.4,-8.4
2020-02-29,4.8,8.8,-4.000000000000001
2020-03-31,5.0,10.1,-5.1
2020-04-30,5.5,11.1,-5.6
2020-05-31,6.8,11.1,-4.3
2020-06-30,6.5,11.1,-4.6
2020-07-31,6.9,10.7,-3.799999999999999
2020-08-31,8.0,10.4,-2.4000000000000004
2020-09-30,8.1,10.9,-2.8000000000000007
2020-10-31,9.1,10.5,-1.4000000000000004
2020-11-30,10.0,10.7,-0.6999999999999993
2020-12-31,8.6,10.1,-1.5
2021-01-31,14.7,9.4,5.299999999999999
2021-02-28,7.4,10.1,-2.6999999999999993
2021-03-31,7.1,9.4,-2.3000000000000007
2021-04-30,6.2,8.1,-1.8999999999999995
2021-05-31,6.1,8.3,-2.200000000000001
2021-06-30,5.5,8.6,-3.0999999999999996
2021-07-31,4.9,8.3,-3.4000000000000004
2021-08-31,4.2,8.2,-3.999999999999999
2021-09-30,3.7,8.3,-4.6000000000000005
2021-10-31,2.8,8.7,-5.8999999999999995
2021-11-30,3.0,8.5,-5.5
2021-12-31,3.5,9.0,-5.5
2022-01-31,-1.9,9.8,-11.700000000000001
2022-02-28,4.7,9.2,-4.499999999999999
2022-03-31,4.7,9.7,-4.999999999999999
2022-04-30,5.1,10.5,-5.4
2022-05-31,4.6,11.1,-6.5
2022-06-30,5.8,11.4,-5.6000000000000005
2022-07-31,6.7,12.0,-5.3
2022-08-31,6.1,12.2,-6.1
2022-09-30,6.4,12.1,-5.699999999999999
2022-10-31,5.8,11.8,-6.000000000000001
2022-11-30,4.6,12.4,-7.800000000000001
2022-12-31,5.8,11.8,-6.000000000000001
2023-01-31,6.7,12.6,-5.8999999999999995
2023-02-28,5.8,12.9,-7.1000000000000005
2023-03-31,5.1,12.7,-7.6
2023-04-30,5.3,12.4,-7.1000000000000005
2023-05-31,4.7,11.6,-6.8999999999999995
2023-06-30,3.1,11.3,-8.200000000000001
2023-07-31,2.3,10.7,-8.399999999999999
2023-08-31,2.2,10.6,-8.399999999999999
2023-09-30,2.1,10.3,-8.200000000000001
2023-10-31,1.9,10.3,-8.4
2023-11-30,1.3,10.0,-8.7
2023-12-31,1.3,9.7,-8.399999999999999
2024-01-31,5.9,8.7,-2.799999999999999
2024-02-29,1.2,8.7,-7.499999999999999
2024-03-31,1.1,8.3,-7.200000000000001
2024-04-30,-1.4,7.2,-8.6
2024-05-31,-4.2,7.0,-11.2
2024-06-30,-5.0,6.2,-11.2
2024-07-31,-6.6,6.3,-12.899999999999999
2024-08-31,-7.3,6.3,-13.6
2024-09-30,-7.4,6.8,-14.2
2024-10-31,-6.1,7.5,-13.6
2024-11-30,-3.7,7.1,-10.8
2024-12-31,-1.4,7.3,-8.7
2025-01-31,0.4,7.0,-6.6
2025-02-28,0.1,7.0,-6.9
2025-03-31,1.6,7.0,-5.4
2025-04-30,1.5,8.0,-6.5
2025-05-31,2.3,7.9,-5.6000000000000005
2025-06-30,4.6,8.3,-3.700000000000001
2025-07-31,5.6,8.8,-3.200000000000001
2025-08-31,6.0,8.8,-2.8000000000000007
2025-09-30,7.2,8.4,-1.2000000000000002
2025-10-31,6.2,8.2,-1.9999999999999991
2025-11-30,4.9,8.0,-3.0999999999999996
2025-12-31,3.8,8.5,-4.7
